sid,roi,condition,0s,2s,4s,6s,8s,10s
T_549,lM1,nt,0.035533677,-0.004212323,0.07626919,0.208729851,0.272174178,0.277332385
T_550,lM1,nt,-0.087129497,-0.074308498,0.071990525,0.097529931,0.096187177,0.122748304
T_554,lM1,nt,0.022321071,-0.064561263,-0.022580693,0.061433772,0.1303564,0.091406157
T_556,lM1,nt,-0.04687968,0.082636211,0.029802549,-0.103680891,-0.03880688,0.109602867
T_593,lM1,nt,-0.07112593,-0.157830838,-0.155181694,-0.156892767,0.056540194,0.274130494
T_595,lM1,nt,-0.04117049,-0.106227702,-0.101199943,-0.034664294,0.020123523,0.033137164
T_603,lM1,nt,-0.0058658,-0.028197682,-0.026291219,-0.091470623,-0.038148875,0.039050752
T_614,lM1,nt,0.114935552,-0.018945161,0.121894372,0.052683226,0.079011284,0.045112645
T_624,lM1,nt,-0.024287183,-0.037613145,0.108756955,0.131429597,0.159321244,0.202385528
T_629,lM1,nt,-0.016096097,-0.05590586,-0.167784598,-0.175764212,0.032933971,0.023970264
T_642,lM1,nt,-0.021881981,-0.033705952,-0.007086943,0.063746036,0.045424059,0.134641596
T_647,lM1,nt,-0.046159265,-0.040720223,-0.049618561,-0.073985318,-0.024874158,-0.016016686
T_652,lM1,nt,0.000946987,0.046047153,0.028665207,0.073980437,0.103499736,0.128827381
T_662,lM1,nt,-0.237488094,-0.200423706,0.087408375,0.017540908,0.040827099,0.038423943
T_663,lM1,nt,0.000670698,-0.007842323,0.042436742,0.122215664,0.23248989,0.303321319
T_665,lM1,nt,0.05839367,0.076931904,0.067089513,0.13940629,0.127213704,0.184405914
T_475,lM1,t,-0.002824397,-0.114986916,-0.022147124,-0.06936936,-0.018761441,-0.02906152
T_488,lM1,t,-0.006270819,-0.069952497,0.027109986,0.027389904,0.061812914,0.002873362
T_490,lM1,t,0.059488158,0.045160263,0.027210251,0.004742474,-0.027529776,0.037607403
T_491,lM1,t,0.018290378,0.026521354,-0.020398037,-0.046926771,-0.035006201,0.041172979
T_495,lM1,t,-0.151712461,-0.070107152,-0.081502785,0.104347726,0.007446871,-0.012583414
T_507,lM1,t,-0.012636689,0.0316919,0.085126291,0.194553533,0.184683345,0.176418441
T_513,lM1,t,0.052137404,0.075808626,0.070786148,0.074702703,-0.00942557,0.025013861
T_524,lM1,t,0.00661338,0.080544099,0.087353008,0.148759512,0.082688143,0.142589184
T_549,lM1,t,0.038992142,0.129980291,0.269081364,0.214532356,0.155707838,0.044350418
T_550,lM1,t,-0.013961658,-0.006081589,0.081707882,0.093148483,0.079547182,0.059970535
T_554,lM1,t,-0.003510841,0.065530834,0.164417203,0.112140673,-0.033324213,0.002234765
T_556,lM1,t,0.019605497,0.06289727,0.047803534,0.057917419,-0.008432914,-0.004737706
T_593,lM1,t,-0.095854445,-0.114238931,-0.071214318,-0.173347507,-0.084122253,0.022635194
T_595,lM1,t,0.001050287,-0.12680322,-0.076441334,0.026669363,0.059355948,0.133854975
T_603,lM1,t,-0.000433943,-0.091958509,-0.053572318,-0.079623396,0.028648369,0.082169554
T_614,lM1,t,-0.082099516,0.013505208,0.048679674,0.021969124,-0.026895804,-0.055949298
T_624,lM1,t,0.044181647,0.10743653,0.11183596,0.066385927,0.105745528,0.13759178
T_629,lM1,t,-0.037103653,-0.145319647,-0.120944802,-0.20119036,-0.104054311,-0.003031063
T_642,lM1,t,-0.01272275,0.011177928,-0.006237357,0.055863028,0.00552569,-0.011914172
T_647,lM1,t,0.056239845,0.022390496,0.069528437,0.022959162,0.068704011,0.089796684
T_652,lM1,t,0.056645503,0.077598127,0.081929422,0.112367823,-0.001470192,0.04170251
T_662,lM1,t,-0.074766629,0.008059095,-0.069985598,-0.039012071,-0.040590885,0.062975897
T_663,lM1,t,-0.002460555,0.204249064,0.240320097,0.208045739,0.085247017,0.065067219
T_665,lM1,t,0.056477188,0.087549114,0.074950226,0.099771825,0.065256303,0.020793042
T_475,lM1,s,0.107647296,-0.019755459,-0.200733844,-0.066413774,0.016869308,0.081391302
T_488,lM1,s,0.042788131,-0.074152645,-0.108302296,0.079024024,-0.04968473,-0.122112009
T_490,lM1,s,0.07289736,-0.047708028,-0.227735581,-0.095660265,-0.08462779,-0.111543882
T_491,lM1,s,0.064534941,0.036881866,-0.10726489,-0.029854561,-0.011585264,0.02841414
T_495,lM1,s,-0.034817978,-0.206065699,-0.255472365,0.204375678,0.285668352,0.19145671
T_507,lM1,s,-0.008962851,-0.013007037,-0.036891513,0.014139961,0.050507334,0.132122188
T_513,lM1,s,0.057490108,0.010927065,-0.101918684,-0.097703461,-0.120413472,0.034397339
T_524,lM1,s,0.140985882,0.042214543,-0.051173793,0.026731823,0.05420276,0.058524267
T_549,lM1,s,0.130542811,0.013064639,-0.12998384,-0.023145567,-0.186150929,-0.180557889
T_550,lM1,s,0.002960427,-0.131390861,-0.241012913,0.02662564,0.01553595,0.031459234
T_554,lM1,s,-0.100028402,-0.029747487,0.110840678,0.198616497,0.146209015,0.209791327
T_556,lM1,s,0.025545032,-0.076681065,-0.154962023,-0.065605037,-0.214453003,0.024806897
T_593,lM1,s,-0.117170225,-0.467578348,-0.582065091,-0.207788261,-0.097958681,-0.077490842
