sid,roi,condition,0s,2s,4s,6s,8s,10s
T_642,lM1,s,-0.066135403,-0.412239276,-0.451707857,-0.188195968,-0.083366902,-0.159770602
T_647,lM1,s,-0.13369958,-0.239840399,-0.178256799,-0.127116555,-0.022866362,0.083357413
T_652,lM1,s,0.11453203,-0.036855801,-0.115025258,-0.065704553,-0.164776035,0.008432127
T_662,lM1,s,-0.013081493,-0.274938049,-0.332052813,-0.059444771,0.309420013,0.215480812
T_663,lM1,s,0.307909805,-0.013145642,-0.171533713,0.035995215,-0.031496364,-0.231289812
T_665,lM1,s,0.238731291,-0.17098339,-0.298500092,0.054343055,-0.057482238,-0.047978106
T_475,lM1,g,0.037621754,0.094583364,0.154285119,0.063707989,0.049759757,-0.022819249
T_488,lM1,g,0.104620059,0.161926855,0.158858149,0.087757503,0.090946088,-0.023114543
T_490,lM1,g,0.007852155,-0.05766501,0.092838071,-0.051269472,-0.142555428,-0.061997839
T_491,lM1,g,0.058766352,0.142760675,0.114236397,0.06481759,0.094879081,-0.033736545
T_495,lM1,g,0.195726333,0.428974003,0.43561495,0.066400963,0.054712313,0.016290894
T_507,lM1,g,0.085564437,0.133533989,0.24127987,0.174302379,0.072268446,-0.019461291
T_513,lM1,g,-0.070068159,0.041571056,0.116088031,0.008822205,-0.078175403,-0.086250024
T_524,lM1,g,0.068700649,0.16997363,0.275809646,0.111885394,0.010879655,-0.046624631
T_549,lM1,g,0.07835182,0.305154724,0.261295746,0.087154619,-0.039098741,-0.033935063
T_550,lM1,g,-0.008051339,-5.91E-02,-0.018565991,0.016907027,0.063784341,0.002541105
T_554,lM1,g,-0.05804084,0.210780735,0.487214016,0.298923414,0.281501168,-0.073029501
T_556,lM1,g,-0.042307392,0.02592456,0.232362652,-0.112574787,0.029604441,-0.067553336
T_593,lM1,g,0.23492403,0.37498134,0.110061817,-0.041918752,-0.019362953,0.035775725
T_595,lM1,g,0.107263676,0.200285526,0.053361743,0.108199559,0.041161714,0.145675298
T_603,lM1,g,0.102906403,0.192380387,0.130955479,0.114729221,0.061746286,0.035485208
T_614,lM1,g,1.32E-02,0.228261419,0.250421545,0.180243675,0.103261888,0.050833538
T_624,lM1,g,0.044591865,0.3649208,0.354628195,0.060750133,-0.083598769,-0.159213107
T_629,lM1,g,0.042102453,-0.048294179,-0.092986644,-0.102122056,0.074765585,0.08141373
T_642,lM1,g,-0.023310894,0.046647154,-0.048986042,-0.039740389,-0.055696071,-0.031840956
T_647,lM1,g,-0.016086438,-0.00610721,0.049135611,0.045351402,0.041906196,-0.045499563
T_652,lM1,g,0.007130811,0.15000801,0.215273816,0.107588236,-0.027973002,-0.086421517
T_662,lM1,g,0.117396456,0.229222073,0.483101728,0.243743034,0.015080372,-0.026958688
T_663,lM1,g,0.043507661,0.318662517,0.420957779,0.112969739,-0.008185542,-0.088726376
T_665,lM1,g,0.091501026,0.226110437,0.157587829,-0.057502814,-0.031217272,-0.036494367
