sid,type,roi,acc
17,ntnt,lM1,0.507554945
18,ntnt,lM1,0.45
19,ntnt,lM1,0.55
20,ntnt,lM1,0.509469697
21,ntnt,lM1,0.453030303
22,ntnt,lM1,0.538636364
23,ntnt,lM1,0.509137427
24,ntnt,lM1,0.61875
1,ss,rdlpfc,0.559294872
2,ss,rdlpfc,0.53228022
3,ss,rdlpfc,0.625
4,ss,rdlpfc,0.5625
5,ss,rdlpfc,0.578125
6,ss,rdlpfc,0.595467033
7,ss,rdlpfc,0.570512821
8,ss,rdlpfc,0.625
9,ss,rdlpfc,0.530612245
10,ss,rdlpfc,0.572727273
11,ss,rdlpfc,0.62900641
12,ss,rdlpfc,0.578125
13,ss,rdlpfc,0.673958333
14,ss,rdlpfc,0.464285714
15,ss,rdlpfc,0.58125
16,ss,rdlpfc,0.5
17,ss,rdlpfc,0.644917582
18,ss,rdlpfc,0.8125
19,ss,rdlpfc,0.525
20,ss,rdlpfc,0.502840909
21,ss,rdlpfc,0.639393939
22,ss,rdlpfc,0.589772727
23,ss,rdlpfc,0.589546784
24,ss,rdlpfc,0.5375
1,ss,rvlpfc,0.581730769
2,ss,rvlpfc,0.516483516
3,ss,rvlpfc,0.589285714
4,ss,rvlpfc,0.555555556
5,ss,rvlpfc,0.59375
6,ss,rvlpfc,0.591346154
7,ss,rvlpfc,0.56650641
8,ss,rvlpfc,0.6875
9,ss,rvlpfc,0.581632653
10,ss,rvlpfc,0.534090909
11,ss,rvlpfc,0.633814103
12,ss,rvlpfc,0.640625
13,ss,rvlpfc,0.565104167
14,ss,rvlpfc,0.517857143
15,ss,rvlpfc,0.53125
16,ss,rvlpfc,0.8125
17,ss,rvlpfc,0.635302198
18,ss,rvlpfc,0.61875
19,ss,rvlpfc,0.46875
20,ss,rvlpfc,0.658143939
21,ss,rvlpfc,0.653030303
22,ss,rvlpfc,0.631818182
23,ss,rvlpfc,0.581505848
24,ss,rvlpfc,0.50625
1,ss,rHC,0.443108974
2,ss,rHC,0.699862637
3,ss,rHC,0.535714286
4,ss,rHC,0.611111111
5,ss,rHC,0.640625
6,ss,rHC,0.611263736
7,ss,rHC,0.427884615
8,ss,rHC,0.508928571
9,ss,rHC,0.520408163
10,ss,rHC,0.410227273
11,ss,rHC,0.625
12,ss,rHC,0.625
13,ss,rHC,0.507291667
14,ss,rHC,0.607142857
15,ss,rHC,0.6
16,ss,rHC,0.75
17,ss,rHC,0.535027473
18,ss,rHC,0.60625
19,ss,rHC,0.64375
20,ss,rHC,0.577651515
21,ss,rHC,0.587878788
22,ss,rHC,0.531818182
23,ss,rHC,0.585891813
24,ss,rHC,0.3875
1,ss,lM1,0.780448718
2,ss,lM1,0.648351648
3,ss,lM1,0.696428571
4,ss,lM1,0.666666667
5,ss,lM1,0.6875
6,ss,lM1,0.70467033
7,ss,lM1,0.768429487
8,ss,lM1,0.696428571
9,ss,lM1,0.765306122
10,ss,lM1,0.746590909
11,ss,lM1,0.606570513
12,ss,lM1,0.640625
13,ss,lM1,0.914583333
14,ss,lM1,0.714285714
15,ss,lM1,0.74375
16,ss,lM1,0.75
17,ss,lM1,0.883928571
18,ss,lM1,0.425
19,ss,lM1,0.71875
20,ss,lM1,0.647727273
21,ss,lM1,0.660606061
22,ss,lM1,0.621590909
23,ss,lM1,0.718567251
24,ss,lM1,0.725
1,within_d,rdlpfc,0.628605769
2,within_d,rdlpfc,0.571085165
3,within_d,rdlpfc,0.589285714
4,within_d,rdlpfc,0.635416667
5,within_d,rdlpfc,0.59375
6,within_d,rdlpfc,0.587225275
7,within_d,rdlpfc,0.610576923
8,within_d,rdlpfc,0.642857143
9,within_d,rdlpfc,0.607142857
10,within_d,rdlpfc,0.690340909
11,within_d,rdlpfc,0.647035256
12,within_d,rdlpfc,0.5546875
13,within_d,rdlpfc,0.6359375
14,within_d,rdlpfc,0.584821429
15,within_d,rdlpfc,0.5375
16,within_d,rdlpfc,0.59375
17,within_d,rdlpfc,0.662431319
18,within_d,rdlpfc,0.65625
19,within_d,rdlpfc,0.61875
20,within_d,rdlpfc,0.541666667
21,within_d,rdlpfc,0.732575758
22,within_d,rdlpfc,0.572159091
23,within_d,rdlpfc,0.685307018
24,within_d,rdlpfc,0.646875
1,within_d,rvlpfc,0.625
2,within_d,rvlpfc,0.544642857
3,within_d,rvlpfc,0.598214286
4,within_d,rvlpfc,0.579861111
5,within_d,rvlpfc,0.609375
6,within_d,rvlpfc,0.584821429
7,within_d,rvlpfc,0.534455128
8,within_d,rvlpfc,0.665178571
9,within_d,rvlpfc,0.642857143
10,within_d,rvlpfc,0.669318182
11,within_d,rvlpfc,0.598958333
12,within_d,rvlpfc,0.515625
13,within_d,rvlpfc,0.551041667
14,within_d,rvlpfc,0.611607143
15,within_d,rvlpfc,0.509375
16,within_d,rvlpfc,0.625
17,within_d,rvlpfc,0.681318681
18,within_d,rvlpfc,0.63125
19,within_d,rvlpfc,0.459375
20,within_d,rvlpfc,0.65719697
21,within_d,rvlpfc,0.688636364
22,within_d,rvlpfc,0.564204545
23,within_d,rvlpfc,0.646564327
24,within_d,rvlpfc,0.534375
1,within_d,rHC,0.677884615
2,within_d,rHC,0.489010989
3,within_d,rHC,0.526785714
4,within_d,rHC,0.493055556
5,within_d,rHC,0.53125
6,within_d,rHC,0.504120879
7,within_d,rHC,0.476762821
8,within_d,rHC,0.517857143
9,within_d,rHC,0.571428571
10,within_d,rHC,0.717045455
11,within_d,rHC,0.534455128
12,within_d,rHC,0.5
13,within_d,rHC,0.524479167
14,within_d,rHC,0.607142857
15,within_d,rHC,0.625
16,within_d,rHC,0.6875
17,within_d,rHC,0.503434066
18,within_d,rHC,0.4625
19,within_d,rHC,0.775
20,within_d,rHC,0.625
21,within_d,rHC,0.589393939
22,within_d,rHC,0.617045455
23,within_d,rHC,0.513157895
24,within_d,rHC,0.6625
1,within_d,lM1,0.780448718
2,within_d,lM1,0.648351648
3,within_d,lM1,0.696428571
4,within_d,lM1,0.666666667
5,within_d,lM1,0.6875
6,within_d,lM1,0.70467033
7,within_d,lM1,0.768429487
8,within_d,lM1,0.696428571
9,within_d,lM1,0.765306122
10,within_d,lM1,0.746590909
11,within_d,lM1,0.606570513
12,within_d,lM1,0.640625
13,within_d,lM1,0.914583333
14,within_d,lM1,0.714285714
15,within_d,lM1,0.74375
16,within_d,lM1,0.75
17,within_d,lM1,0.883928571
18,within_d,lM1,0.425
19,within_d,lM1,0.71875
20,within_d,lM1,0.647727273
21,within_d,lM1,0.660606061
22,within_d,lM1,0.621590909
23,within_d,lM1,0.718567251
24,within_d,lM1,0.725
1,thought_to_action,rdlpfc,0.520833333
2,thought_to_action,rdlpfc,0.561813187
3,thought_to_action,rdlpfc,0.589285714
4,thought_to_action,rdlpfc,0.444444444
5,thought_to_action,rdlpfc,0.5625
6,thought_to_action,rdlpfc,0.401098901
7,thought_to_action,rdlpfc,0.556089744
8,thought_to_action,rdlpfc,0.625
9,thought_to_action,rdlpfc,0.489795918
10,thought_to_action,rdlpfc,0.531818182
11,thought_to_action,rdlpfc,0.564102564
12,thought_to_action,rdlpfc,0.5
13,thought_to_action,rdlpfc,0.635416667
14,thought_to_action,rdlpfc,0.571428571
15,thought_to_action,rdlpfc,0.65
16,thought_to_action,rdlpfc,0.375
17,thought_to_action,rdlpfc,0.489010989
18,thought_to_action,rdlpfc,0.675
19,thought_to_action,rdlpfc,0.525
20,thought_to_action,rdlpfc,0.486742424
21,thought_to_action,rdlpfc,0.575757576
22,thought_to_action,rdlpfc,0.477272727
23,thought_to_action,rdlpfc,0.643274854
24,thought_to_action,rdlpfc,0.55
1,thought_to_action,rvlpfc,0.514423077
2,thought_to_action,rvlpfc,0.539835165
3,thought_to_action,rvlpfc,0.625
4,thought_to_action,rvlpfc,0.611111111
5,thought_to_action,rvlpfc,0.625
6,thought_to_action,rvlpfc,0.493131868
7,thought_to_action,rvlpfc,0.453525641
8,thought_to_action,rvlpfc,0.625
9,thought_to_action,rvlpfc,0.653061224
10,thought_to_action,rvlpfc,0.488636364
11,thought_to_action,rvlpfc,0.559294872
12,thought_to_action,rvlpfc,0.46875
13,thought_to_action,rvlpfc,0.55
14,thought_to_action,rvlpfc,0.571428571
15,thought_to_action,rvlpfc,0.5375
16,thought_to_action,rvlpfc,0.75
17,thought_to_action,rvlpfc,0.460164835
18,thought_to_action,rvlpfc,0.4125
19,thought_to_action,rvlpfc,0.5625
20,thought_to_action,rvlpfc,0.549242424
21,thought_to_action,rvlpfc,0.657575758
22,thought_to_action,rvlpfc,0.638636364
23,thought_to_action,rvlpfc,0.510964912
24,thought_to_action,rvlpfc,0.475
1,thought_to_action,rHC,0.564102564
2,thought_to_action,rHC,0.446428571
3,thought_to_action,rHC,0.321428571
4,thought_to_action,rHC,0.388888889
5,thought_to_action,rHC,0.46875
6,thought_to_action,rHC,0.487637363
7,thought_to_action,rHC,0.604166667
8,thought_to_action,rHC,0.535714286
9,thought_to_action,rHC,0.591836735
10,thought_to_action,rHC,0.538636364
11,thought_to_action,rHC,0.66025641
12,thought_to_action,rHC,0.5
13,thought_to_action,rHC,0.529166667
14,thought_to_action,rHC,0.446428571
15,thought_to_action,rHC,0.4375
16,thought_to_action,rHC,0.375
17,thought_to_action,rHC,0.542582418
18,thought_to_action,rHC,0.5125
19,thought_to_action,rHC,0.4
20,thought_to_action,rHC,0.528409091
21,thought_to_action,rHC,0.612121212
22,thought_to_action,rHC,0.577272727
23,thought_to_action,rHC,0.382309942
24,thought_to_action,rHC,0.4
1,thought_to_action,lM1,0.628205128
2,thought_to_action,lM1,0.391483516
3,thought_to_action,lM1,0.571428571
4,thought_to_action,lM1,0.277777778
5,thought_to_action,lM1,0.375
6,thought_to_action,lM1,0.567307692
7,thought_to_action,lM1,0.5
8,thought_to_action,lM1,0.553571429
9,thought_to_action,lM1,0.448979592
10,thought_to_action,lM1,0.75
11,thought_to_action,lM1,0.469551282
12,thought_to_action,lM1,0.3125
13,thought_to_action,lM1,0.520833333
14,thought_to_action,lM1,0.482142857
15,thought_to_action,lM1,0.6375
16,thought_to_action,lM1,0.375
17,thought_to_action,lM1,0.491758242
18,thought_to_action,lM1,0.475
19,thought_to_action,lM1,0.3625
20,thought_to_action,lM1,0.524621212
21,thought_to_action,lM1,0.427272727
22,thought_to_action,lM1,0.454545455
23,thought_to_action,lM1,0.701754386
24,thought_to_action,lM1,0.4125
1,action_to_thought,rdlpfc,0.474358974
2,action_to_thought,rdlpfc,0.598901099
3,action_to_thought,rdlpfc,0.571428571
4,action_to_thought,rdlpfc,0.583333333
5,action_to_thought,rdlpfc,0.5625
6,action_to_thought,rdlpfc,0.475274725
7,action_to_thought,rdlpfc,0.580128205
8,action_to_thought,rdlpfc,0.821428571
9,action_to_thought,rdlpfc,0.693877551
10,action_to_thought,rdlpfc,0.472727273
11,action_to_thought,rdlpfc,0.583333333
12,action_to_thought,rdlpfc,0.40625
13,action_to_thought,rdlpfc,0.604166667
14,action_to_thought,rdlpfc,0.678571429
15,action_to_thought,rdlpfc,0.6875
16,action_to_thought,rdlpfc,0.25
17,action_to_thought,rdlpfc,0.502747253
18,action_to_thought,rdlpfc,0.6625
19,action_to_thought,rdlpfc,0.4875
20,action_to_thought,rdlpfc,0.585227273
21,action_to_thought,rdlpfc,0.551515152
22,action_to_thought,rdlpfc,0.470454545
23,action_to_thought,rdlpfc,0.668128655
24,action_to_thought,rdlpfc,0.6125
1,action_to_thought,rvlpfc,0.528846154
2,action_to_thought,rvlpfc,0.552197802
3,action_to_thought,rvlpfc,0.660714286
4,action_to_thought,rvlpfc,0.652777778
5,action_to_thought,rvlpfc,0.59375
6,action_to_thought,rvlpfc,0.509615385
7,action_to_thought,rvlpfc,0.511217949
8,action_to_thought,rvlpfc,0.607142857
9,action_to_thought,rvlpfc,0.714285714
10,action_to_thought,rvlpfc,0.586363636
11,action_to_thought,rvlpfc,0.546474359
12,action_to_thought,rvlpfc,0.46875
13,action_to_thought,rvlpfc,0.519791667
14,action_to_thought,rvlpfc,0.553571429
15,action_to_thought,rvlpfc,0.6
16,action_to_thought,rvlpfc,0.75
17,action_to_thought,rvlpfc,0.524725275
18,action_to_thought,rvlpfc,0.4625
19,action_to_thought,rvlpfc,0.3875
20,action_to_thought,rvlpfc,0.602272727
21,action_to_thought,rvlpfc,0.639393939
22,action_to_thought,rvlpfc,0.493181818
23,action_to_thought,rvlpfc,0.52997076
24,action_to_thought,rvlpfc,0.4
1,action_to_thought,rHC,0.592948718
2,action_to_thought,rHC,0.528846154
3,action_to_thought,rHC,0.428571429
4,action_to_thought,rHC,0.402777778
5,action_to_thought,rHC,0.3125
6,action_to_thought,rHC,0.51510989
7,action_to_thought,rHC,0.461538462
8,action_to_thought,rHC,0.803571429
9,action_to_thought,rHC,0.571428571
10,action_to_thought,rHC,0.527272727
11,action_to_thought,rHC,0.655448718
12,action_to_thought,rHC,0.5
13,action_to_thought,rHC,0.536458333
14,action_to_thought,rHC,0.535714286
15,action_to_thought,rHC,0.5
16,action_to_thought,rHC,0.375
17,action_to_thought,rHC,0.46978022
18,action_to_thought,rHC,0.5625
19,action_to_thought,rHC,0.4125
20,action_to_thought,rHC,0.554924242
21,action_to_thought,rHC,0.681818182
22,action_to_thought,rHC,0.452272727
23,action_to_thought,rHC,0.359649123
24,action_to_thought,rHC,0.425
1,action_to_thought,lM1,0.613782051
2,action_to_thought,lM1,0.34478022
3,action_to_thought,lM1,0.375
4,action_to_thought,lM1,0.347222222
5,action_to_thought,lM1,0.3125
6,action_to_thought,lM1,0.662087912
7,action_to_thought,lM1,0.447115385
8,action_to_thought,lM1,0.517857143
9,action_to_thought,lM1,0.367346939
10,action_to_thought,lM1,0.731818182
11,action_to_thought,lM1,0.447115385
12,action_to_thought,lM1,0.46875
13,action_to_thought,lM1,0.411458333
14,action_to_thought,lM1,0.482142857
15,action_to_thought,lM1,0.6
16,action_to_thought,lM1,0.5
17,action_to_thought,lM1,0.385989011
18,action_to_thought,lM1,0.4125
19,action_to_thought,lM1,0.275
20,action_to_thought,lM1,0.46780303
21,action_to_thought,lM1,0.566666667
22,action_to_thought,lM1,0.281818182
23,action_to_thought,lM1,0.557017544
24,action_to_thought,lM1,0.5375
