sid,type,roi,acc
3,ntnt,rHC,0.536785714
4,ntnt,rHC,0.7386875
5,ntnt,rHC,0.7070625
6,ntnt,rHC,0.580875
7,ntnt,rHC,0.4815
8,ntnt,rHC,0.9999375
9,ntnt,rHC,0.734428571
10,ntnt,rHC,0.9319375
11,ntnt,rHC,0.9673125
12,ntnt,rHC,0.715
13,ntnt,rHC,0.4011875
14,ntnt,rHC,0.6328125
15,ntnt,rHC,0.6345625
16,ntnt,rHC,0.5989375
17,ntnt,rHC,0.703625
18,ntnt,rHC,0.4636875
19,ntnt,rHC,0.70425
20,ntnt,rHC,0.7691875
21,ntnt,rHC,0.85525
22,ntnt,rHC,0.608375
23,ntnt,rHC,0.996375
24,ntnt,rHC,0.5735625
1,ntnt,lM1,0.683333333
2,ntnt,lM1,0.435416667
3,ntnt,lM1,0.67032967
4,ntnt,lM1,0.535714286
5,ntnt,lM1,0.488970588
6,ntnt,lM1,0.390625
7,ntnt,lM1,0.821710526
8,ntnt,lM1,0.838815789
9,ntnt,lM1,0.408424908
10,ntnt,lM1,0.455952381
11,ntnt,lM1,0.544934641
12,ntnt,lM1,0.653409091
13,ntnt,lM1,0.317095588
14,ntnt,lM1,0.553571429
15,ntnt,lM1,0.534313725
16,ntnt,lM1,0.330409357
17,ntnt,lM1,0.589583333
18,ntnt,lM1,0.661904762
19,ntnt,lM1,0.401098901
20,ntnt,lM1,0.363541667
21,ntnt,lM1,0.441269841
22,ntnt,lM1,0.61212406
23,ntnt,lM1,0.454605263
24,ntnt,lM1,0.598809524
